2019-11-23 13:11:830 INFO  LoggerHelper:20 - logger is configured
2019-11-23 13:11:834 INFO  LoggerHelper:21 - logger is configured
2019-11-23 13:11:834 INFO  LoggerHelper:22 - logger is configured
2019-11-23 16:11:911 INFO  WaitHelper:31 - WaitHelper object created..
2019-11-23 16:11:227 INFO  WaitHelper:97 - waiting for :[[ChromeDriver: chrome on LINUX (61f7ca088d185499e387ad6bc18aead7)] -> xpath: //p[text()=' Login or Create Account']/..] for :3 seconds
2019-11-23 16:11:393 INFO  WaitHelper:100 - element is clickable now
2019-11-23 16:11:394 INFO  Login:42 - clicking login....
2019-11-23 16:11:601 INFO  WaitHelper:176 - waiting for :[[ChromeDriver: chrome on LINUX (61f7ca088d185499e387ad6bc18aead7)] -> id: username] for :3 seconds
2019-11-23 16:11:687 INFO  WaitHelper:179 - element is visible now
2019-11-23 16:11:687 INFO  Login:48 - entering username....8431484412
2019-11-23 16:11:105 INFO  WaitHelper:97 - waiting for :[[ChromeDriver: chrome on LINUX (61f7ca088d185499e387ad6bc18aead7)] -> xpath: //button[@data-cy='continueBtn']] for :3 seconds
2019-11-23 16:11:279 INFO  WaitHelper:100 - element is clickable now
2019-11-23 16:11:280 INFO  Login:60 - clicking continue....
2019-11-23 16:11:526 INFO  WaitHelper:97 - waiting for :Proxy element for: DefaultElementLocator 'By.linkText: or Login via Password' for :3 seconds
2019-11-23 16:11:734 INFO  WaitHelper:31 - WaitHelper object created..
2019-11-23 16:11:65 INFO  WaitHelper:97 - waiting for :[[ChromeDriver: chrome on LINUX (91513e0bc21506d7d14ff95d10a82906)] -> xpath: //p[text()=' Login or Create Account']/..] for :3 seconds
2019-11-23 16:11:231 INFO  WaitHelper:100 - element is clickable now
2019-11-23 16:11:232 INFO  Login:42 - clicking login....
2019-11-23 16:11:442 INFO  WaitHelper:176 - waiting for :[[ChromeDriver: chrome on LINUX (91513e0bc21506d7d14ff95d10a82906)] -> id: username] for :3 seconds
